name,eircode,latitude,longitude,postal_town
Abbeyville,K36,53.42894,-6.18436,Malahide
Abbotstown,D15,53.38835,-6.3667,Dublin
Adamstown,K78,53.33468,-6.45623,Lucan
Aderrig,K78,53.33886,-6.48611,Lucan
Aghfarrell,D24,53.23009,-6.4183,Dublin
Allagour,D24,53.24266,-6.37336,Dublin
Allenswood,K78,53.37906,-6.4667,Lucan
Annaghaskin,A98,53.21081,-6.17364,Bray
Annfield,D15,53.37399,-6.4073,Dublin
Annsbrook,A41,53.52455,-6.23383,Ballyboughal
Ardgillan Demesne,K34,53.58781,-6.16041,Skerries
Ardla,K34,53.5753,-6.13667,Skerries
Artane,D05,53.383,-6.20514,Dublin
Ashfield,D22,53.31218,-6.3801,Dublin
Ashtown,D07,53.37251,-6.33164,Dublin
Aske,A98,53.21904,-6.12379,Bray
Astagob,D20,53.36181,-6.39599,Dublin
Athgoe,D22,53.28526,-6.51285,Dublin
Athgoe North,D22,53.29087,-6.52492,Dublin
Athgoe South,D22,53.28451,-6.5306,Dublin
Auburn,K36,53.44248,-6.18702,Malahide
Aungierstown And Ballybane,D22,53.3138,-6.45259,Dublin
Backstown,W23,53.34694,-6.48843,Maynooth
Backwestonpark,W23,53.35318,-6.49025,Maynooth
Badgerhill,W91,53.25133,-6.52008,Naas
Balally,D16,53.27512,-6.23575,Dublin
Balbriggan,K32,53.60832,-6.18208,Balbriggan
Balcarrick,K36,53.48112,-6.12612,Malahide
Balcultry,K67,53.47389,-6.28957,Swords
Balcunnin,K34,53.5588,-6.15237,Skerries
Balcurris,D11,53.40694,-6.28097,Dublin
Baldongan,K45,53.55286,-6.1331,Lusk
Baldonnell Little,D22,53.30298,-6.4341,Dublin
Baldonnell Lower,D22,53.30712,-6.43626,Dublin
Baldonnell Upper,D22,53.30225,-6.44868,Dublin
Baldoyle,D13,53.39487,-6.13739,Dublin
Baldrumman,K45,53.5369,-6.21862,Lusk
Baldurgan,A41,53.50782,-6.25425,Ballyboughal
Baldwinstown,A42,53.56552,-6.35212,Garristown
Balgaddy,K78,53.34085,-6.42423,Lucan
Balgriffin,D13,53.40969,-6.17656,Dublin
Balgriffin Park,D13,53.40791,-6.17391,Dublin
Balheary,K67,53.48314,-6.23676,Swords
Balheary Demesne,K67,53.47231,-6.22098,Swords
Ballaghstown,K45,53.54665,-6.14214,Lusk
Ballalease North,K36,53.48932,-6.14079,Malahide
Ballalease South,K36,53.48115,-6.14193,Malahide
Ballalease West,K36,53.4872,-6.14911,Malahide
Balleally East,K45,53.51046,-6.16339,Lusk
Balleally West,K45,53.50978,-6.17272,Lusk
Ballinascorney Lower,D24,53.25154,-6.38124,Dublin
Ballinascorney Upper,D24,53.23299,-6.40424,Dublin
Ballinclea,A96,53.26783,-6.12596,Glenageary
Ballinteer,D16,53.27462,-6.25354,Dublin
Ballisk,K36,53.48619,-6.14365,Malahide
Ballisk Common,K36,53.49146,-6.14907,Malahide
Ballough,K45,53.53149,-6.19951,Lusk
Ballsbridge,D04,53.32887,-6.23053,Dublin
Ballustree,K34,53.54215,-6.09088,Skerries
Ballybane,D22,53.321,-6.45023,Dublin
Ballybetagh,D18,53.22246,-6.20074,Dublin
Ballyboden,D16,53.28232,-6.29261,Dublin
Ballycoolen,D15,53.40773,-6.3649,Dublin
Ballycorus,D18,53.22911,-6.17458,Dublin
Ballycragh,D24,53.27654,-6.34444,Dublin
Ballycullen,D16,53.27303,-6.32699,Dublin
Ballydowd,K78,53.35732,-6.42579,Lucan
Ballyedmonduff,D18,53.24205,-6.23379,Dublin
Ballyfermot,D10,53.34225,-6.35356,Dublin
Ballyfermot Upper,D10,53.34581,-6.37818,Dublin
Ballyhack,K67,53.46695,-6.31592,Swords
Ballyhavil,K34,53.55938,-6.10138,Skerries
Ballykea,K34,53.54853,-6.11116,Skerries
Ballymacartle,K67,53.42514,-6.19206,Swords
Ballymadrough,K36,53.47285,-6.19065,Malahide
Ballymadun,A84,53.53525,-6.40515,Ashbourne
Ballymaguire,K45,53.54712,-6.18107,Lusk
Ballymaice,D24,53.25452,-6.38586,Dublin
Ballymakaily,K78,53.3289,-6.46049,Lucan
Ballyman,A98,53.20796,-6.15248,Bray
Ballymana,D24,53.26035,-6.3942,Dublin
Ballymanaggin,D22,53.33189,-6.39243,Dublin
Ballymastone,K36,53.48539,-6.13682,Malahide
Ballymorefinn,D24,53.2321,-6.37426,Dublin
Barnacullia,D18,53.25345,-6.23708,Dublin
Barnageeragh,K32,53.58311,-6.15,Balbriggan
Barnanstown,A45,53.51552,-6.30107,Oldtown
Barnaslingan,D18,53.2195,-6.17668,Dublin
Barnhill,D15,53.38841,-6.456,Dublin
Barrysparks,K67,53.44892,-6.20993,Swords
Baskin,K67,53.42405,-6.20451,Swords
Bawnoges,D22,53.3219,-6.41237,Dublin
Bay,D15,53.42399,-6.35834,Dublin
Beau,K56,53.51792,-6.13513,Rush
Beaumont,D09,53.38569,-6.22867,Dublin
Beaverstown,K36,53.49553,-6.15563,Malahide
